Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Girona;3.092
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lleida;2.445
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Tarragona;2.825
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Comunidad Valenciana;16.476
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alicante;3.748
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castellón de la Plana;4.511
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valencia;8.217
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Extremadura;4.730
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Badajoz;3.173
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cáceres;1.557
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Galicia;13.451
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Coruña (A);6.158
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lugo;1.978
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ourense;2.219
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Pontevedra;3.096
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Madrid (Comunidad de);14.999
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Murcia (Región de);4.820
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Navarra (Comun. Foral de);3.032
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;País Vasco;5.609
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alava;936
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guipúzcoa;1.790
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Vizcaya;2.884
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Rioja (La);1.380
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ceuta;718
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Melilla;635
