Causa de muerte;Sexo;Provincias;Periodo;Total
044  Diabetes mellitus;Total;08 Barcelona;1991;973
044  Diabetes mellitus;Total;08 Barcelona;1990;920
044  Diabetes mellitus;Total;08 Barcelona;1989;872
044  Diabetes mellitus;Total;08 Barcelona;1988;953
044  Diabetes mellitus;Total;08 Barcelona;1987;933
044  Diabetes mellitus;Total;08 Barcelona;1986;877
044  Diabetes mellitus;Total;08 Barcelona;1985;973
044  Diabetes mellitus;Total;08 Barcelona;1984;881
044  Diabetes mellitus;Total;08 Barcelona;1983;817
044  Diabetes mellitus;Total;08 Barcelona;1982;792
044  Diabetes mellitus;Total;08 Barcelona;1981;679
044  Diabetes mellitus;Total;08 Barcelona;1980;693
044  Diabetes mellitus;Total;48 Bizkaia;2022;248
044  Diabetes mellitus;Total;48 Bizkaia;2021;254
044  Diabetes mellitus;Total;48 Bizkaia;2020;281
044  Diabetes mellitus;Total;48 Bizkaia;2019;267
044  Diabetes mellitus;Total;48 Bizkaia;2018;231
044  Diabetes mellitus;Total;48 Bizkaia;2017;205
044  Diabetes mellitus;Total;48 Bizkaia;2016;237
044  Diabetes mellitus;Total;48 Bizkaia;2015;270
044  Diabetes mellitus;Total;48 Bizkaia;2014;255
044  Diabetes mellitus;Total;48 Bizkaia;2013;255
044  Diabetes mellitus;Total;48 Bizkaia;2012;250
044  Diabetes mellitus;Total;48 Bizkaia;2011;254
044  Diabetes mellitus;Total;48 Bizkaia;2010;248
044  Diabetes mellitus;Total;48 Bizkaia;2009;238
044  Diabetes mellitus;Total;48 Bizkaia;2008;237
044  Diabetes mellitus;Total;48 Bizkaia;2007;269
044  Diabetes mellitus;Total;48 Bizkaia;2006;224
044  Diabetes mellitus;Total;48 Bizkaia;2005;268
044  Diabetes mellitus;Total;48 Bizkaia;2004;256
044  Diabetes mellitus;Total;48 Bizkaia;2003;239
044  Diabetes mellitus;Total;48 Bizkaia;2002;247
044  Diabetes mellitus;Total;48 Bizkaia;2001;236
044  Diabetes mellitus;Total;48 Bizkaia;2000;240
044  Diabetes mellitus;Total;48 Bizkaia;1999;267
044  Diabetes mellitus;Total;48 Bizkaia;1998;256
044  Diabetes mellitus;Total;48 Bizkaia;1997;210
044  Diabetes mellitus;Total;48 Bizkaia;1996;226
044  Diabetes mellitus;Total;48 Bizkaia;1995;214
044  Diabetes mellitus;Total;48 Bizkaia;1994;213
044  Diabetes mellitus;Total;48 Bizkaia;1993;215
044  Diabetes mellitus;Total;48 Bizkaia;1992;185
044  Diabetes mellitus;Total;48 Bizkaia;1991;218
044  Diabetes mellitus;Total;48 Bizkaia;1990;215
