Diagnóstico principal (CIE9MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;;970
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;05 Ávila;56
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;09 Burgos;103
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;24 León;183
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;34 Palencia;51
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;37 Salamanca;218
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;40 Segovia;23
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;42 Soria;28
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;47 Valladolid;227
249-250 Diabetes mellitus;Hombres;Total Nacional;07 Castilla y León;49 Zamora;81
249-250 Diabetes mellitus;Hombres;Total Nacional;08 Castilla - La Mancha;;571
249-250 Diabetes mellitus;Hombres;Total Nacional;08 Castilla - La Mancha;02 Albacete;134
249-250 Diabetes mellitus;Hombres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;165
249-250 Diabetes mellitus;Hombres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;48
249-250 Diabetes mellitus;Hombres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;74
249-250 Diabetes mellitus;Hombres;Total Nacional;08 Castilla - La Mancha;45 Toledo;150
249-250 Diabetes mellitus;Hombres;Total Nacional;09 Cataluña;;2.583
249-250 Diabetes mellitus;Hombres;Total Nacional;09 Cataluña;08 Barcelona;2.062
249-250 Diabetes mellitus;Hombres;Total Nacional;09 Cataluña;17 Girona;168
249-250 Diabetes mellitus;Hombres;Total Nacional;09 Cataluña;25 Lleida;112
249-250 Diabetes mellitus;Hombres;Total Nacional;09 Cataluña;43 Tarragona;241
249-250 Diabetes mellitus;Hombres;Total Nacional;10 Comunitat Valenciana;;1.983
249-250 Diabetes mellitus;Hombres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;814
